Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,expName,frameRate,ParticipantID,
cellar,572,10,4,1695,6,572,1676,n,74,1,3,10,L,0.86,2.68,down,467,A,0,73,73,73,,,down,1,0.670919179916,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
bench,555,11,4,1553,5,614,2109,n,75,5,9,7,H,2.33,2.694,down,488,A,0,74,74,74,,,down,1,0.91849398613,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
pony,642,18,1,1533,4,611,1525,y,76,7,5,7,H,2.07,2.004,left,524,B,0,75,75,75,,,left,1,0.650352954865,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
kettle,594,17,1,1572,6,602,1476,n,77,3,4,15,H,3.73,2.158,down,551,A,0,76,76,76,,,down,1,0.651750802994,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
tangerine,625,16,1,4312,9,645,0,n,78,0,4,0,H,0.99,1.591,left,495,B,0,77,77,77,,,left,1,0.653394937515,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
mat,537,13,2,1237,3,513,1527,n,79,18,10,31,H,1.84,2.253,down,490,A,0,78,78,78,,,down,1,1.00188803673,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
cloak,518,8,2,778,5,543,1572,n,80,2,3,13,L,3.14,2.188,down,423,A,0,79,79,79,,,down,1,0.654339790344,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
sofa,597,18,5,377,4,629,1162,y,81,3,1,3,L,4.0,3.554,down,564,A,0,80,80,80,,,down,1,0.884836912155,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
limousine,595,19,1,2292,9,624,1229,y,82,0,1,0,L,1.71,1.909,down,505,A,0,81,81,81,,,down,1,0.65149307251,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
toad,591,23,3,690,4,568,1245,n,83,5,1,23,L,1.91,2.464,down,516,A,0,82,82,82,,,left,0,0.951493024826,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
barn,589,17,5,1566,4,614,1849,n,84,12,2,11,L,1.81,2.841,down,466,A,0,83,83,83,,,down,1,0.984951019287,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
tortoise,539,14,1,2123,8,602,1285,y,85,0,1,0,L,2.42,1.914,left,415,B,0,84,84,84,,,left,1,0.785004138947,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
tomato,610,13,5,1454,6,662,1459,y,86,0,2,0,L,2.28,2.827,left,574,B,0,85,85,85,,,left,1,1.05187416077,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
lamp,575,14,3,923,4,615,1835,y,87,10,2,9,L,3.0,2.61,down,578,A,0,86,86,86,,,down,1,0.984730958939,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
cage,585,13,1,962,4,593,2152,y,88,13,6,15,H,2.32,1.255,down,487,A,0,87,87,87,,,down,1,1.26928400993,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
hamster,581,14,2,2583,7,599,1240,n,89,0,1,0,L,2.47,2.041,left,467,B,0,88,88,88,,,left,1,0.651738882065,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
clock,614,14,5,1103,5,591,2344,n,90,8,2,13,L,2.44,3.476,down,608,A,0,89,89,89,,,down,1,0.68484210968,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
shed,602,12,4,903,4,611,2144,n,91,6,6,18,H,2.5,2.749,down,524,A,0,90,90,90,,,down,1,0.935403108597,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
python,559,15,3,873,6,580,1538,y,92,0,3,0,L,1.42,2.314,left,308,B,0,91,91,91,,,left,1,0.770603895187,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
spinach,606,11,2,1303,7,589,715,n,93,0,2,1,L,2.01,2.117,left,452,B,0,92,92,92,,,left,1,1.18510293961,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
dress,595,13,5,1357,5,595,2608,n,94,3,21,4,H,4.76,3.648,down,588,A,0,93,93,93,,,down,1,0.701890945435,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
jacket,611,15,5,1459,6,635,1849,n,95,2,7,2,H,2.73,3.232,down,596,A,0,94,94,94,,,down,1,0.835067033768,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
vine,564,8,3,1065,4,601,1655,y,96,12,1,22,L,2.35,2.48,left,411,B,0,95,95,95,,,left,1,0.970938920975,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
whale,623,12,4,1289,5,610,1810,n,97,3,3,5,L,3.25,2.76,left,500,B,0,96,96,96,,,left,1,0.737548828125,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
hammer,618,16,4,2424,6,605,2139,n,98,2,9,6,H,1.78,2.804,down,515,A,0,97,97,97,,,down,1,0.918332099915,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
dog,636,18,5,344,3,610,3050,y,99,13,8,9,H,1.51,3.993,left,598,B,0,98,98,98,,,left,1,1.18484687805,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
umbrella,592,11,3,1208,8,606,1961,n,100,0,4,0,H,2.66,2.583,down,511,A,0,99,99,99,,,down,1,0.851511955261,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
